TestNo,MainTemp,LampTemp,Intensity,DefectFlag
1,31.56,31.37,1,0
1,31.56,31.37,1,0
1,31.56,31.37,1,0
1,31.56,31.37,1,0
1,31.62,31.37,1,0
2,31.56,31.37,1,0
2,31.62,31.37,1,0
4,31.62,31.31,1,0
4,31.62,31.31,1,0
4,31.62,31.31,1,0
4,31.62,31.31,1,0
1,32.44,32.06,880,0
1,32.44,32.06,878,0
1,32.44,32.06,814,0
1,32.44,32.00,656,0
1,32.44,32.06,692,0
1,32.44,32.00,624,0
1,32.44,32.06,626,0
1,32.44,32.00,625,0
1,32.44,32.00,623,0
1,32.44,32.00,624,0
1,32.38,32.00,624,0
1,32.44,32.00,623,0
1,32.38,32.00,623,0
1,32.38,32.00,623,0
1,32.44,32.06,623,0
1,32.44,32.00,622,0
1,32.44,32.00,621,0
1,32.44,32.00,620,0
1,32.38,32.00,621,0
1,32.44,32.00,621,0
1,32.44,32.00,622,0
1,32.44,32.00,622,0
1,32.38,32.06,623,0
1,32.44,32.06,624,0
1,32.38,32.00,624,0
1,32.44,32.00,625,0
1,32.44,32.00,626,0
1,32.44,32.00,627,0
1,32.44,32.06,629,0
1,32.44,32.00,630,0
1,32.44,32.00,632,0
1,32.38,32.00,616,0
1,32.44,32.00,815,0
1,32.38,32.00,817,0
1,32.44,32.00,817,0
1,32.44,31.94,817,0
1,32.38,32.00,817,0
1,32.38,32.00,816,0
1,32.38,32.00,818,0
1,32.38,32.00,819,0
1,32.38,32.00,818,0
1,32.38,31.94,818,0
1,32.38,32.00,819,0
1,32.38,31.94,822,0
1,32.38,31.94,821,0
1,32.38,31.94,821,0
1,32.38,31.94,822,0
1,32.38,32.00,821,0
1,32.38,31.94,820,0
1,32.38,31.94,820,0
1,32.31,31.94,819,0
1,32.38,32.00,822,0
1,32.38,32.00,821,0
1,32.38,32.00,821,0
1,32.31,32.00,847,0
1,32.38,32.00,860,0
1,32.38,32.00,865,0
1,32.38,32.00,809,0
1,32.38,31.94,854,0
1,32.38,31.94,878,0
1,32.38,31.94,876,0
1,32.38,31.94,876,0
1,32.38,31.94,780,0
1,32.38,31.94,778,0
1,32.38,31.94,779,0
1,32.38,32.00,779,0
1,32.38,32.00,780,0
1,32.38,31.94,781,0
1,32.38,32.00,779,0
1,32.38,31.94,780,0
1,32.31,32.00,780,0
1,32.38,32.00,792,0
1,32.38,31.94,799,0
1,32.38,31.94,773,0
1,32.38,32.00,848,0
1,32.38,31.94,850,0
1,32.38,32.00,844,0
1,32.38,32.00,847,0
1,32.38,32.00,846,0
1,32.38,32.00,844,0
1,32.38,31.94,845,0
1,32.38,32.00,881,0
1,32.44,31.94,847,0
1,32.38,32.00,847,0
1,32.38,32.00,910,0
1,32.38,32.00,852,0
1,32.38,31.94,837,0
1,32.38,31.94,871,0
1,32.38,31.94,839,0
1,32.38,31.94,838,0
1,32.31,31.94,881,0
1,32.38,31.94,852,0
1,32.38,31.94,849,0
1,32.38,31.94,849,0
1,32.31,31.94,844,0
1,32.38,31.94,840,0
1,32.38,31.94,839,0
1,32.38,32.00,841,0
1,32.38,31.94,830,0
1,32.31,31.87,834,0
1,32.38,31.87,835,0
1,32.38,31.94,863,0
1,32.38,31.94,857,0
1,32.31,31.87,914,0
